id_vd,id_ch,titulo,data_criacao,views,likes,coments,duracao,sentenca_idx,texto
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,0,"Boa tarde, Brasil."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,1,Nós estamos aqui hoje por algo muito maior do que nós mesmos.
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,2,"Então, hoje eu quero que vocês prestem realmente bastante atenção no que eu vou falar."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,3,Desde a caminhada que nós fizemos.
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,4,>> [aplausos] >>
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,5,"Desde o dia que nós fizemos a caminhada, eu vi crianças, eu vi pessoas idosas indo ali caminhar com a gente e com um coração realmente machucado, mas um coração que foi sendo restaurado ao longo dos quilômetros para poder lutar por esse país."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,6,"E chegado ali no final, eu realmente quis realmente só dar um recado para todo mundo e orar, porque eu não tenho dúvidas de que tudo, e eu repito, tudo o que está acontecendo no nosso país, Deus não está com os olhos fechados pro nosso Brasil."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,7,Ele não está.
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,8,Eu não tenho dúvidas disso.
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,9,"Então, por que que nós estamos aqui no fim das contas?"
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,10,"E segura, porque hoje eu vou dar lapada em muita gente."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,11,Nós estamos aqui por fora Lula.
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,12,"Fora, fora Lula."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,13,Eu não vou mandar gritar Lula não.
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,14,Nós estamos aqui por fora Lula.
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,15,E por que fora Lula?
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,16,"Primeiro, este cara aqui já está no poder há três mandatos, continua prometendo segurança para este país e entrega hoje 60 milhões de brasileiros que estão abaixo das regras do crime organizado."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,17,É esse o que a consequência que ele deixou pro nosso país.
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,18,"Um presidente que gasta 85 milhões do seu dinheiro de impostos para poder bancar desfile de carnaval, bilhões de reais para poder colocar no bolso de artistas da lei ruanê bilhão de reais para poder comprar lagosta e bancar os jantares do STF."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,19,"Ou seja, não falta dinheiro em Brasília, falta vergonha na cara, falta caráter, falta homem de verdade para poder tocar este país."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,20,"Nós estamos aqui por fora, Lula, porque ele, nós fizemos um trabalho de 3 anos."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,21,"Estivemos ali 6 meses na CPMI do dia 8, lutando contra tudo e contra todos."
BPK06LIJ8tw,UCxI9vN6UbxmBt8VIvUKtJaA,NIKOLAS DETONA NO ACORDA BRASIL EM SÃO PAULO,2026-03-01,39863,10263,761,1220,22,"Fomos até na Papuda, na Céia."
